System,Device,SensingDevice,Sensor,name,value,timestamp,location
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.61,2021-01-04 02:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.0,2021-01-04 02:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.61,2021-01-04 02:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,20.96,2021-01-04 02:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.815,2021-01-04 02:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.0,2021-01-04 02:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.92,2021-01-04 03:00:00+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.800000000000001,2021-01-04 03:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,20.88,2021-01-04 03:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.793333333333333,2021-01-04 03:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.92,2021-01-04 03:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,20.88,2021-01-04 03:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,19.793333333333333,2021-01-04 03:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.800000000000001,2021-01-04 03:00:05+01:00,outside
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.83,2021-01-04 04:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.0,2021-01-04 04:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.985,2021-01-04 04:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.88,2021-01-04 04:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.0,2021-01-04 04:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.985,2021-01-04 04:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.88,2021-01-04 04:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.83,2021-01-04 04:00:05+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.75,2021-01-04 05:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.74,2021-01-04 05:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,20.875,2021-01-04 05:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.82,2021-01-04 05:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,20.74,2021-01-04 05:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.75,2021-01-04 05:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.875,2021-01-04 05:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.82,2021-01-04 05:00:05+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.91,2021-01-04 06:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.75,2021-01-04 06:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.74,2021-01-04 06:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,20.97,2021-01-04 06:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.97,2021-01-04 06:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.74,2021-01-04 06:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,19.75,2021-01-04 06:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.91,2021-01-04 06:00:05+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.779999999999999,2021-01-04 07:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,20.97,2021-01-04 07:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.75,2021-01-04 07:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.950000000000003,2021-01-04 07:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.779999999999999,2021-01-04 07:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,19.75,2021-01-04 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.97,2021-01-04 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.950000000000003,2021-01-04 07:00:05+01:00,room2
